"","RegionName","RegionID","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","X1996.04","X1996.05","X1996.06","X1996.07","X1996.08","X1996.09","X1996.10","X1996.11","X1996.12","X1997.01","X1997.02","X1997.03","X1997.04","X1997.05","X1997.06","X1997.07","X1997.08","X1997.09","X1997.10","X1997.11","X1997.12","X1998.01","X1998.02","X1998.03","X1998.04","X1998.05","X1998.06","X1998.07","X1998.08","X1998.09","X1998.10","X1998.11","X1998.12","X1999.01","X1999.02","X1999.03","X1999.04","X1999.05","X1999.06","X1999.07","X1999.08","X1999.09","X1999.10","X1999.11","X1999.12","X2000.01","X2000.02","X2000.03","X2000.04","X2000.05","X2000.06","X2000.07","X2000.08","X2000.09","X2000.10","X2000.11","X2000.12","X2001.01","X2001.02","X2001.03","X2001.04","X2001.05","X2001.06","X2001.07","X2001.08","X2001.09","X2001.10","X2001.11","X2001.12","X2002.01","X2002.02","X2002.03","X2002.04","X2002.05","X2002.06","X2002.07","X2002.08","X2002.09","X2002.10","X2002.11","X2002.12","X2003.01","X2003.02","X2003.03","X2003.04","X2003.05","X2003.06","X2003.07","X2003.08","X2003.09","X2003.10","X2003.11","X2003.12","X2004.01","X2004.02","X2004.03","X2004.04","X2004.05","X2004.06","X2004.07","X2004.08","X2004.09","X2004.10","X2004.11","X2004.12","X2005.01","X2005.02","X2005.03","X2005.04","X2005.05","X2005.06","X2005.07","X2005.08","X2005.09","X2005.10","X2005.11","X2005.12","X2006.01","X2006.02","X2006.03","X2006.04","X2006.05","X2006.06","X2006.07","X2006.08","X2006.09","X2006.10","X2006.11","X2006.12","X2007.01","X2007.02","X2007.03","X2007.04","X2007.05","X2007.06","X2007.07","X2007.08","X2007.09","X2007.10","X2007.11","X2007.12","X2008.01","X2008.02","X2008.03","X2008.04","X2008.05","X2008.06","X2008.07","X2008.08","X2008.09","X2008.10","X2008.11","X2008.12","X2009.01","X2009.02","X2009.03","X2009.04","X2009.05","X2009.06","X2009.07","X2009.08","X2009.09","X2009.10","X2009.11","X2009.12","X2010.01","X2010.02","X2010.03","X2010.04","X2010.05","X2010.06","X2010.07","X2010.08","X2010.09","X2010.10","X2010.11","X2010.12","X2011.01","X2011.02","X2011.03","X2011.04","X2011.05","X2011.06","X2011.07","X2011.08","X2011.09","X2011.10","X2011.11","X2011.12","X2012.01","X2012.02","X2012.03","X2012.04","X2012.05","X2012.06","X2012.07","X2012.08","X2012.09","X2012.10","X2012.11","X2012.12","X2013.01","X2013.02","X2013.03","X2013.04","X2013.05","X2013.06","X2013.07","X2013.08","X2013.09","X2013.10","X2013.11","X2013.12","X2014.01","X2014.02","X2014.03","X2014.04","X2014.05","X2014.06","X2014.07","X2014.08","X2014.09","X2014.10","X2014.11","X2014.12","X2015.01","X2015.02","X2015.03","X2015.04","X2015.05","X2015.06","X2015.07","X2015.08","X2015.09","X2015.10","Num"
"1","Alameda",1510,"CA","San Francisco",6,1,21,192000,192000,191900,191900,192100,192200,192400,193100,194100,195400,196900,197800,198500,199500,200700,202400,204500,206800,208700,211200,214100,217300,220100,222500,224200,225900,227600,229200,230900,232800,234600,236200,237700,239600,241500,243100,244800,247700,252300,258300,264600,270500,275800,281100,287000,293600,301200,309300,317900,326100,333500,340200,346000,351100,356600,362600,367900,372600,376600,380100,382500,382600,380700,378300,377000,377200,378000,378100,377200,377000,377900,379900,383400,389200,395500,400900,405500,409500,413100,416400,419200,421200,422900,424500,426000,427000,428200,430100,433000,436700,441100,446300,452000,457900,464400,471900,480500,490000,499600,509200,518500,527600,536600,546200,556600,567100,577100,586700,595500,603800,612000,619700,625800,630200,632900,634900,635900,636500,637500,637900,636400,633800,631200,629500,628500,627200,625700,623500,620800,619400,619400,618700,616300,612800,609100,605000,600600,595500,590400,585000,578600,569600,558900,548200,538400,528800,519300,509600,499000,488600,480500,473400,469200,468300,466800,462600,458700,455600,453100,450900,449500,449400,449800,450400,450300,449200,448200,447800,447200,446100,445000,443800,442200,439900,437500,435600,433000,429500,425700,421600,416900,412400,408200,405600,404900,405000,404500,404000,403700,404100,405400,407600,410000,413400,418000,422900,428500,435000,441800,448800,455800,462500,469900,479600,492400,506600,520300,532400,542200,550200,556400,561200,565800,570600,573600,578000,585600,593100,597800,601300,605200,609500,614400,620000,624800,628900,635900,644600,651000,656200,663000,671400,679400,686000,691200,441
"2","Amador",829,"CA","",6,5,849,121500,122300,123100,124100,124900,125500,125700,126100,126300,126800,127000,127600,128400,129000,129600,130100,129800,129800,129800,129400,129700,131000,131900,132100,133600,NA,NA,135700,135700,134800,136500,139300,141100,141900,142100,142600,143400,144400,144500,144200,144200,144200,143500,142300,141800,142500,143800,144900,146500,148000,148300,147900,148300,150300,152500,153700,155400,157800,159900,162100,164000,165500,167500,170000,172100,173300,174700,176800,179300,181500,183200,184900,186800,188600,191100,194800,198800,202200,204700,206700,207900,208700,210900,214800,219600,224200,228000,230000,232100,235000,238800,242600,246200,250000,252900,255200,257200,259200,263300,271800,281300,288600,294500,301100,307600,312500,317400,323900,331000,337100,343200,350900,359700,368600,376900,383200,384900,382400,377800,373600,370100,368800,366400,362900,359900,357600,353900,352600,350500,345800,340400,335700,330800,327200,326500,326600,326800,325900,324500,321300,316100,310300,307200,306200,304200,301900,292900,274100,253200,238900,229600,221500,223700,237500,250200,252700,254200,253600,253100,253600,253600,252400,251000,248400,243000,236200,230100,225700,221800,217700,214300,212800,211600,209600,207800,207500,206900,205300,203800,202900,201400,200400,199400,196800,195400,195500,194400,191900,189700,186500,184000,183300,183200,183100,184600,188000,192200,194600,195800,196800,197300,196800,196600,197200,197200,196700,197600,201900,206900,210300,213400,217100,217500,215500,213700,215100,219200,223500,226000,228400,230300,231500,233100,235800,237300,237600,238400,239800,240300,241700,244500,248100,251500,255200,258700,19
"3","Butte",418,"CA","Chico",6,7,264,105700,105700,105300,105200,104900,104300,104100,104000,104000,104400,104800,104900,104200,103200,102600,102400,102200,102300,102500,102700,102800,103000,103300,103500,104300,NA,NA,106200,107700,107900,108400,109100,109900,110900,111700,112300,113000,113100,112600,112200,112400,112800,113200,113800,114800,115800,116800,117900,118800,119900,121400,123000,124100,125100,126800,128300,129300,130300,131700,133600,135800,137800,139500,140800,142100,143600,144900,145700,146700,147700,149400,151900,154400,156500,158700,161500,164600,167400,170300,173700,176600,178700,180700,183100,186100,190000,193200,195400,198300,202200,206000,209700,213300,216700,219500,221900,224800,228100,231800,236300,241200,246000,250500,254700,259200,264400,269500,273300,275900,278700,282000,285100,287500,290000,292400,294200,296200,298800,301400,303000,303200,302600,301700,299900,296400,292100,287700,283500,280100,277700,275900,275500,276400,277800,278300,277900,277300,276600,275300,273300,270100,265800,260500,254400,248900,243700,238800,235300,232800,230800,229400,229300,230200,231100,231500,231500,230500,228700,226700,224800,223100,222000,221000,219800,218000,215300,212400,210500,209500,208700,208200,207700,206800,205900,204700,202300,199700,197900,196100,194300,192300,190400,189000,187900,186600,185000,183600,182900,182700,183100,184100,184900,185700,186600,187400,188300,189600,190800,191700,192600,193700,194700,196100,198500,200700,202300,203900,205700,207300,208800,210800,212900,214900,216400,217200,217500,218200,219100,220000,220500,221100,221800,222700,223700,224100,224400,226000,228200,229800,231400,232600,233500,234800,235900,236700,117
"4","Calaveras",2643,"CA","",6,9,791,118300,120600,123300,124800,124800,124400,123900,123000,122100,122000,122300,123000,123700,124000,124000,124100,124400,124500,124900,126200,127500,128600,129600,130200,129900,129000,128400,129400,130800,131100,130800,130700,130700,130800,131100,131600,132800,134000,134200,134100,134400,135600,136900,138200,139500,141700,144400,146800,148100,149500,151200,152800,154300,155600,156600,158000,160200,162700,164800,166600,168300,170600,173200,176000,178800,181400,183100,183800,184400,185600,188000,190500,193100,195800,198600,201100,204700,208900,212200,215700,220700,226000,229400,231300,233100,234100,234700,236400,238000,240900,247100,253500,256700,258800,261600,265900,271200,277000,282800,288700,294600,301100,307700,314500,320200,324400,329900,338500,347000,355000,363300,369800,374400,377300,378000,377400,376400,375500,376000,376300,375100,371700,369200,369200,370200,368700,368300,370500,371800,370700,367500,363500,359800,358300,358000,356900,353700,349600,345400,341300,338100,335800,331600,324500,316200,309200,300800,290200,281000,275100,269000,262200,258300,257000,255800,253400,251900,249900,247700,245600,244200,241800,238700,235400,232900,231300,229900,228400,226900,225500,224100,222800,221000,219500,218600,217600,216200,214800,213500,212700,211400,208900,206000,204300,202800,201100,198900,196300,193100,190600,188600,186600,184300,182700,182000,181600,181500,181700,181800,182100,183100,184200,186100,189000,192500,196300,201200,206300,210300,213600,217500,221700,224600,226100,226500,227400,229800,233200,235900,237800,239200,240600,242600,244700,245300,244700,244800,246400,249200,250200,248700,247900,249200,251000,252600,29
"5","Colusa",952,"CA","",6,11,1005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87600,88000,88300,88500,87400,86200,87000,88100,88900,90200,90700,90900,92200,92400,91900,NA,NA,92300,92600,92600,92700,93300,94200,94200,94100,95300,96500,96300,96100,95900,97000,97700,98600,100700,104100,106300,105500,103800,102900,102100,99800,100600,103300,105300,105000,105600,106500,107100,108000,110400,110800,110300,112800,116100,116400,116000,116000,114300,113400,114700,117100,119000,119100,118200,121200,129000,136400,139600,142100,144300,146800,151300,158500,162900,166200,171500,176100,176800,175200,177100,181500,186100,187400,187500,184700,184700,191600,202400,205200,205000,207900,212500,211900,214300,221200,230700,241900,255900,267200,270500,274200,283300,291400,297800,307400,311400,305100,298000,295400,297300,301500,307000,304100,293300,291700,296300,303800,311100,310800,305800,309600,308400,302800,299000,299900,296600,293000,287800,283900,280800,285600,281700,265000,255700,249400,239700,231100,227400,223300,221500,219500,217400,221400,233600,242800,241700,242200,240900,233100,220900,207700,195000,184500,175500,168100,157900,150900,148800,143600,139600,144900,151400,152300,151800,151900,152500,151600,150300,148600,145800,143200,141100,138000,137100,137700,137600,135600,133700,131300,130000,128700,127600,127300,128500,130000,132200,134000,135500,135800,135100,134200,135200,136000,136500,137500,138900,139800,141700,143600,145200,147100,149100,150700,154000,156900,156600,156400,158000,159300,160500,165000,171100,174500,174300,173000,175100,179200,183300,187900,191700,191600,191200,191400,190200,189200,24
"6","Contra Costa",3159,"CA","San Francisco",6,13,36,189300,188700,188100,187800,187700,187800,187700,187700,187900,188600,189300,189800,190100,190400,190800,191800,193100,194300,195600,197500,199900,202500,205000,207100,208400,209700,211200,213100,214900,216300,217200,218900,221100,223200,224400,225500,227900,232400,236800,239600,241900,246000,250900,254800,257800,261200,265300,269700,274300,278900,282900,287000,291700,296800,302400,307900,312900,317800,322900,327500,330900,333700,336500,338800,340300,340900,340900,341100,342100,344200,346900,349800,353100,357000,361400,366100,370400,373600,377200,381100,384700,388200,392200,395800,399000,401500,404100,407100,410400,414700,419500,424700,430300,436300,441500,446600,453200,461400,470200,480200,491800,503600,514700,525100,534100,542900,553100,564400,575200,584400,592100,598800,605200,610700,615100,618800,621900,622500,621000,618500,616000,612800,609800,606900,602800,598100,595000,593500,590300,585200,580700,578200,575400,571600,566300,559900,552500,544000,534300,524000,513300,503100,492900,482600,471300,459100,447000,435800,425100,414600,404000,392900,386400,385900,386100,382100,376800,372300,369000,366400,365500,365600,365400,364900,364600,363900,362700,361100,359400,358300,357600,356300,354100,351700,349900,348000,345200,340700,335500,330500,325500,321300,318200,315600,313300,311500,310400,309900,309700,309300,309600,311300,314000,316800,319300,322200,325700,329800,334800,340200,344700,348800,354100,361400,370200,380300,390800,401100,410500,418300,425300,432200,437300,440000,441100,444400,450300,455600,459300,462600,465100,466500,468100,471300,475200,478500,482400,487500,491700,495200,497900,500300,503400,507700,511400,301
"7","El Dorado",2691,"CA","Sacramento",6,17,314,157100,156900,157100,157100,156800,156600,156100,155500,155300,155700,155700,155300,155200,155500,155500,154900,154800,155000,155200,155500,156100,157200,158800,160100,161000,161700,162000,162600,163700,164700,165300,166000,166800,167400,167800,167900,168200,168400,168700,169900,171400,172900,174700,176400,177600,178800,181400,184900,188800,192700,195800,198400,201200,204500,208000,211600,215400,219600,223700,227500,230700,233500,237100,241200,244500,247000,248900,250900,253600,256800,259300,260600,261700,264000,267500,270400,272900,275500,278400,281400,285100,289300,293900,298500,302900,306300,309300,312200,314900,317700,321900,327500,333200,338200,343300,348100,352700,358000,363500,369800,377400,385700,394000,403000,411600,418800,425400,432800,439300,444400,450600,458100,464900,469700,473800,477000,478200,477300,475800,475000,475400,475800,474600,471500,467000,462300,458300,454300,448900,443800,440400,437500,435000,434800,435000,432900,430200,428400,425300,420100,414600,409500,404000,398400,393300,388100,381600,375400,371100,367500,362600,355400,351000,351000,351300,348100,345100,342000,338400,334800,331800,328600,326100,325100,323700,320400,316900,314600,312100,309000,306000,303600,300900,298000,295300,293200,291400,289800,287600,285200,282700,280500,278700,277500,276200,274800,272900,271700,270900,270500,270200,270100,269400,269100,270000,272300,275600,279300,283100,287100,290600,293400,296600,301500,307600,313000,317900,322400,326200,329600,333500,337100,340200,342600,343800,345100,347300,350200,352800,353900,353500,353000,353700,355800,357800,359600,362800,367000,369600,370900,372100,374000,376600,379000,380500,85
"8","Fresno",1018,"CA","Fresno",6,19,43,97600,97400,97100,96600,96400,96100,96000,95700,95500,95300,95600,96000,96300,96200,96200,96100,96100,96100,96100,96200,96100,96200,96600,96800,96700,96600,96500,96600,96700,96800,96800,96700,96900,97500,98000,98300,98600,99000,99300,99300,99300,99400,99700,100300,101400,102600,103400,103500,103500,103900,104500,105000,105200,105500,106100,107000,107700,108700,109700,110600,111400,112500,113500,114600,115900,117000,118000,119000,120200,121300,122500,123900,125100,126400,128400,130800,133100,135000,137000,139100,141500,143800,145900,148400,151400,154200,156300,158700,161900,165600,169100,172100,174800,177900,181300,184700,188900,194000,199300,204600,210700,216800,222600,227800,232300,236800,242100,247800,252700,257300,262400,267700,272500,277100,282200,287400,291400,293500,294900,296100,296800,296600,295800,294400,291800,288200,284900,282100,278900,275800,273100,271000,268700,266100,263100,259800,255600,251200,246700,243000,240100,236400,231300,226100,221200,216500,212000,207300,202400,197800,193200,187900,184200,183400,183300,181600,179400,177200,175000,173200,172100,171300,170400,169500,168700,167700,166200,164700,163300,161800,160500,159400,158300,157200,156100,154700,152800,150300,148400,146700,144900,143200,141500,139400,137800,136800,136000,135600,135600,135900,136400,137100,138000,139000,140200,141500,142700,143800,144700,145700,146800,148100,149700,151300,153000,155300,157900,160800,163800,166900,170100,173000,174900,175800,176400,177600,179800,181600,182400,183300,184400,185600,186500,187500,188100,188400,189300,190600,191800,192900,194200,195400,196400,197200,198000,394
"9","Glenn",524,"CA","",6,21,939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168700,173600,176800,180800,186100,191200,196200,201900,208300,214400,220600,227600,233300,236400,237600,238000,237300,235000,232200,229300,226800,225100,223700,223700,226800,228900,226100,221900,220500,218700,214300,211200,210700,211100,212900,215900,217100,217300,216600,213800,210300,208700,208400,207500,207100,199300,188000,174700,165000,159100,162700,170200,177500,180500,182300,182600,180700,180100,178900,175400,170600,167100,162600,157700,153400,150700,148100,145400,142900,141300,140000,140000,139900,139200,137800,136700,135600,134000,131700,129600,128900,128800,128600,129200,130000,130600,130500,129600,128000,126700,125800,125700,126300,127300,129000,131200,132700,133600,133500,133200,134200,136700,138200,138900,139500,140200,141700,144700,147800,149600,149700,149200,148400,147300,148100,149400,149800,149700,150100,150900,152900,154900,156000,156200,155700,155700,156300,157400,159100,161700,164100,166200,168000,42
"10","Humboldt",2351,"CA","Eureka",6,23,418,105600,106400,106300,106200,106100,106100,106200,106200,106200,106700,107400,107700,107900,108500,108900,109400,109900,110000,109800,109800,109900,109900,109800,109500,109900,NA,NA,110700,111400,111500,111800,112400,113000,113800,114400,114800,114700,113800,112900,113200,114500,115400,115500,115700,116300,116500,117000,118900,121300,122800,123600,124000,124000,124100,124900,126000,127100,128700,129800,130100,130400,131700,132900,134000,135200,136900,138900,140100,141200,143000,145600,148000,150100,151900,154100,156700,160100,163700,166600,168800,171700,175400,178400,180600,184000,189100,193800,196500,199200,203100,207700,212100,215300,219000,223300,228200,232500,235600,237800,240600,244100,248300,253600,258800,264800,270300,275700,281400,287800,292900,297500,303700,309100,312300,314100,316600,318300,317800,317000,318500,320600,320700,320100,318900,317100,315000,312600,312100,312400,311800,311600,312300,312200,313600,317300,320100,323200,325100,326200,326800,326600,325800,323300,318800,314400,310000,306900,305100,300600,294800,291400,289100,286700,283400,279800,276900,274300,272000,269600,267100,265600,265600,264900,263100,262200,263000,263100,261900,260300,259000,257400,255900,254700,253100,251000,249300,248300,248400,248800,247900,246500,245200,243500,241200,239000,236900,234800,232600,230100,227800,226500,226500,226700,226600,225900,225400,226500,228500,230100,230100,229600,229000,229100,229200,229700,230900,232600,233600,233700,234600,236000,236800,237200,238200,238800,239300,241200,243200,243900,244500,245800,246600,247200,248000,248500,248700,250100,252000,252300,251100,250400,251100,252200,253200,253900,127
"11","Imperial",2354,"CA","El Centro",6,25,328,97700,98500,98200,97400,96300,95300,94900,94700,94400,94600,94700,94400,93900,93700,93800,94100,94300,94500,94500,94800,95200,95500,95800,96100,97000,NA,NA,98400,99300,99600,99700,99500,99600,100200,100800,101500,101900,101900,101400,101100,101000,101000,101100,101400,101600,102100,102700,103700,104700,105400,105800,106500,107700,109000,111000,113400,114600,114700,115000,115700,116600,117500,118400,119000,119200,119500,120000,120400,120900,121800,122800,123800,125200,126700,127600,128100,128700,129400,130300,132300,134600,136000,136500,136900,137800,138900,140100,141200,142600,144500,146000,146600,147800,150000,152800,155300,157600,159900,163100,166700,170400,174600,179100,183100,187200,191500,196100,201200,205700,209600,213600,218200,223200,228100,233100,237700,242500,247600,252100,255400,258000,259900,261700,263200,263700,263700,262100,259300,256700,254500,252500,251100,250000,248400,245600,242000,237800,233100,228400,224200,220200,217000,214100,210200,205400,201400,198400,196100,193300,190700,188100,187000,184300,177900,170200,164700,160900,157800,154000,150000,146800,143700,140600,137700,135500,134100,133200,132100,131100,130300,129700,128700,127200,126000,125400,124700,123900,123100,122700,122600,122500,122300,121800,121100,120800,120300,119300,118100,117600,117700,118200,118300,118300,118400,118500,118800,119300,120100,121100,121500,121800,122500,123400,124500,125700,126600,127300,128200,129100,130900,133800,136500,138800,141500,144000,145700,146700,147300,148500,150600,153000,154200,154400,154800,155500,156400,157600,158600,158900,159400,160500,161700,162800,163800,164600,92
"12","Inyo",188,"CA","",6,27,1027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269500,274400,277500,279700,282000,284600,286700,288800,287600,284800,284900,286700,286600,286700,287000,286700,285600,284000,284000,285600,284100,278600,272900,269100,266000,262800,260500,260000,261100,261800,263000,265500,266900,264500,260900,259300,259400,260200,260700,260900,262700,265500,267700,270000,270000,266900,264400,263700,263900,265000,265300,265200,266300,267900,269900,273900,277300,278700,278500,278500,278200,277700,278700,281000,282800,284400,287600,290400,288800,283100,280000,281100,281200,281000,282200,283700,283600,282300,280800,38
"13","Kern",204,"CA","Bakersfield",6,29,58,85100,85300,85500,85800,86000,86000,86100,86200,86200,86200,86400,86500,86400,86300,85900,85700,85500,85200,85000,85000,85000,85100,85500,85900,86200,86400,86700,86800,86700,86800,87100,87200,87500,88000,88400,88600,88600,88700,88700,88800,89000,89200,89500,89800,89800,89900,90300,90700,91100,91800,92600,93200,93400,93600,93800,94100,94600,95300,96000,96500,97100,97800,98400,99000,99500,100000,100400,101200,102200,103300,104500,105600,106500,107200,107700,108500,109800,111400,112800,114100,115800,117700,119500,121400,123400,125200,126800,128500,130200,132000,134200,136600,138800,141200,144100,147100,150700,155300,160500,166100,172200,178000,183700,189600,195200,200500,205800,211900,217600,223200,229100,235400,241900,248600,254500,260100,264900,268000,270400,272700,274400,274800,274400,273100,271500,270300,269000,266800,264300,262300,260500,258700,256800,254200,250700,246500,242300,237900,233400,228400,223600,219300,214400,208500,202900,197900,193700,189500,184500,179200,174800,170700,167100,164200,161000,157100,153300,150300,148100,146600,145100,143100,141300,140100,139000,138000,137500,137300,137100,136900,136600,136000,135500,134700,133700,132500,131300,129700,128300,127200,126100,124900,123800,122600,121700,121600,121500,121300,121100,121400,121900,122600,123700,124600,125200,125800,126800,128000,129100,130400,131800,133200,134800,136900,139400,141700,144000,146300,149000,152100,155000,157500,159600,161600,162700,163000,163300,164100,164900,165500,166000,166300,166600,167300,168100,169100,170600,172600,174000,174600,175000,175500,176100,176600,177000,324
"14","Kings",580,"CA","Hanford",6,31,377,88000,86900,86300,86500,87000,87000,87000,87200,87700,88400,88800,88900,89100,89400,89500,89200,88800,88900,88900,88700,88500,88400,88200,88400,88700,NA,NA,88900,89100,89500,90200,90900,91500,92000,91900,91500,91000,90700,90700,91000,91400,91400,91200,91000,90900,90600,90500,90400,90300,90200,90400,90600,90900,91500,92000,92200,92400,93100,94000,94600,94900,95400,96300,97100,97600,97800,98100,98900,99800,100700,101700,102700,103600,104500,105300,106100,106600,107000,107500,108300,108900,109400,110100,111500,113500,115600,117300,119200,121300,123600,125700,127700,130100,133000,135600,137700,140100,143100,146200,149600,153800,158200,162900,167500,172000,176400,180600,184900,189500,193800,198000,202600,206800,210400,213600,217000,220400,223300,225100,226000,226400,226700,227100,226200,224400,223800,224700,225900,225400,222600,220200,220300,220700,219700,218400,217800,217100,216300,213300,208400,203600,200300,198700,197900,196600,194700,192900,190000,186500,183500,181200,179000,177700,178100,178600,177600,176400,175600,174400,172800,171000,168500,166000,164600,164200,163500,161700,159900,158900,158000,156600,155400,154900,154600,154000,153100,151400,149200,146800,144000,140400,137200,135600,135200,134300,132900,132100,131600,131000,130500,130300,130200,129900,129700,129500,129300,129700,130400,130800,130700,131100,132000,132800,133200,134200,135700,137000,138200,139800,141500,143100,144800,146300,147600,148500,149500,150800,152100,152500,153000,153600,154100,154300,155300,156300,157000,158000,159000,158800,158300,158300,158800,159100,159500,159800,85
"15","Lake",217,"CA","Clearlake",6,33,661,91700,92600,91400,88400,87000,86600,86900,87600,88200,89000,89300,89800,90400,91400,91500,92000,93100,94000,93500,92800,92200,92200,92200,92100,92100,NA,NA,93300,94500,95900,97300,98700,99900,100900,101200,101500,101500,101300,100600,100000,100700,102300,102800,103200,103900,104800,106600,110000,113000,114600,115700,117600,119400,120000,120300,121500,123500,125600,127200,129600,132200,133700,134200,134600,135100,136000,136700,136600,137000,137500,138100,139600,143100,146900,149400,151000,151900,152700,155000,157800,160200,164000,168400,169800,169600,171300,174900,177800,182400,188700,193900,196800,199700,201800,203100,205200,208900,212900,216800,222900,229200,235300,241500,247600,251900,256500,261800,267500,272700,278100,283500,287800,291100,293800,296200,298600,301300,303600,304400,304000,303300,304100,307600,310300,311100,309900,307700,307500,309400,309400,308800,309000,305600,297800,288600,279300,271000,264900,259900,253500,246900,243300,241500,238400,234200,229400,224800,221900,219600,216800,215000,214000,211700,207400,202400,198600,197500,197800,196800,194700,192400,190400,188800,188200,187900,186200,183600,182400,181500,179200,176700,174200,172000,170200,168000,164900,161400,158300,154900,151200,147400,143800,140800,138700,137200,135600,134100,132800,132100,132000,132400,132800,133300,134000,135200,136900,138500,138900,138400,138100,138700,139900,141300,141700,141700,142700,144300,145900,147900,150100,151700,152700,153700,155400,156500,158800,163100,167500,170200,172400,174200,176100,177500,178100,178500,180000,183300,186400,188400,190000,191900,193100,193600,194500,195800,56
"16","Lassen",1143,"CA","Susanville",6,35,877,91400,92300,91400,90000,90700,92900,93000,90300,88800,90900,92800,91200,88200,87800,88100,88600,90300,91500,91200,90600,90100,89900,90600,90700,90700,NA,NA,90900,91800,92200,92700,94000,94900,94500,92900,92600,92400,92300,92400,92900,92400,91800,91000,90100,89300,88500,87000,85900,86100,87800,89800,90900,91100,91300,92200,93800,94400,93100,93100,94400,95400,94600,94100,94500,94900,95300,95600,94700,95600,103300,110300,108300,104500,104300,104200,103300,103300,102800,103600,105300,106100,104900,104300,104300,105500,106600,105700,107100,110800,113000,111700,110800,112500,114800,116300,117900,122300,128500,134400,135700,135600,141000,146000,146600,148100,153900,159500,166200,168500,168100,173100,180800,181800,179900,183500,193000,196400,188900,186100,192400,200900,204100,202400,196300,196300,202100,204400,200700,199700,201900,199100,196500,194700,193900,192200,194100,197100,195500,190500,190000,189400,189700,192500,191000,185900,181600,179100,179100,180600,178700,175300,172700,174600,177000,177700,177300,176700,176500,177300,177900,176800,175600,176200,175400,172400,169800,168000,165600,162900,160000,156400,151800,146600,142400,140000,138200,135800,132900,129000,124500,121100,119100,117800,116800,115400,114900,116200,117500,117300,117200,118500,120400,122800,124100,124500,124700,125800,125400,122700,119700,117800,115300,112800,111400,110800,111400,113100,114600,115100,115200,115400,115800,115200,113100,110100,108800,109300,109900,111000,112000,112400,114300,117400,118700,120100,123100,126400,128700,130400,131000,130000,129200,129000,129900,131300,38
